,antecedents,consequents,lift,support,confidence,antecedent_len
0,"frozenset({'901070', '901059', '901060'})",frozenset({'901061'}),101.4209,0.001,0.8182,3
1,"frozenset({'901061', '901070', '901060'})",frozenset({'901059'}),94.37,0.001,0.7912,3
2,"frozenset({'901064', '901070', '901059'})",frozenset({'901061'}),92.3098,0.001,0.7447,3
3,"frozenset({'901067', '901069'})",frozenset({'901068'}),92.3046,0.0013,0.7154,2
4,"frozenset({'901064', '901059', '901063'})",frozenset({'901061'}),91.3382,0.001,0.7368,3
5,"frozenset({'901063', '901060'})",frozenset({'901061'}),91.2151,0.0011,0.7358,2
6,"frozenset({'901065', '901060'})",frozenset({'901061'}),88.8372,0.0012,0.7167,2
7,"frozenset({'901059', '901060'})",frozenset({'901061'}),88.5421,0.0017,0.7143,2
8,"frozenset({'911091', '911092'})",frozenset({'911090'}),62.2884,0.001,0.9,2
9,"frozenset({'911091', '901065'})",frozenset({'911090'}),60.9865,0.0013,0.8812,2
10,"frozenset({'911091', '901070'})",frozenset({'911090'}),56.6928,0.0011,0.8191,2
11,"frozenset({'902438', '902435'})",frozenset({'902436'}),55.1824,0.0019,0.7377,2
12,"frozenset({'901065', '911092'})",frozenset({'911090'}),50.3844,0.0013,0.728,2
13,"frozenset({'901070', '911092'})",frozenset({'911090'}),48.7029,0.0014,0.7037,2
14,"frozenset({'901064', '901065', '901069'})",frozenset({'901063'}),46.1672,0.0011,0.7143,3
15,"frozenset({'902453', '902442', '902459'})","frozenset({'902449', '902450'})",36.8894,0.0013,0.7073,3
16,"frozenset({'901070', '901063', '901069'})",frozenset({'901065'}),35.2891,0.0011,0.8022,3
17,"frozenset({'901064', '901070', '901069'})",frozenset({'901065'}),33.8388,0.001,0.7692,3
18,"frozenset({'901061', '901059', '901065'})",frozenset({'901070'}),33.5643,0.0013,0.704,3
19,"frozenset({'911090', '901070', '901063'})",frozenset({'901065'}),31.9554,0.0011,0.7264,3
20,"frozenset({'911090', '901064', '901063'})",frozenset({'901065'}),31.637,0.0015,0.7192,3
21,"frozenset({'901061', '901064', '901070'})",frozenset({'901065'}),31.5932,0.0011,0.7182,3
22,"frozenset({'901064', '901070', '901063'})",frozenset({'901065'}),31.4502,0.0023,0.7149,3
23,"frozenset({'901064', '901063', '901069'})",frozenset({'901065'}),31.4218,0.0011,0.7143,3
24,"frozenset({'901070', '901059', '901063'})",frozenset({'901065'}),31.2333,0.001,0.71,3
25,"frozenset({'911090', '901064', '901070'})",frozenset({'901065'}),30.9122,0.0011,0.7027,3
26,"frozenset({'902451', '902449', '902443', '902450'})",frozenset({'902453'}),30.255,0.001,0.7553,4
27,"frozenset({'902451', '902449', '902454', '902450'})",frozenset({'902453'}),29.1997,0.0011,0.729,4
28,"frozenset({'902451', '902449', '902456', '902442'})",frozenset({'902453'}),28.9929,0.0011,0.7238,4
