sku,sku_count,product_name
902405,5290,Banana Chiquita Ecuador 1 Kg
902450,3845,Cucumber Kuwait 1 Kg
900510,3790,Pepsi 250 ml
902449,3465,Tomato Jordanian 1 Kg
900061,3159,Red Bull Energy Drink 250 ml
900349,2838,KDD Chocolate Milk 250 ml
908059,2655,Cv Pop PoP 18g
902442,2383,Lemon South African  1 Kg
901869,2340,7up 250 ml
900116,2257,Maltesers Chocolate Beans Pouch 37 g
902453,2161,Potato Lebanese 1 Kg
912467,2160,Fico Chiplets Ketchup Chips 18 g
902133,2065,Kinder Cereal 23.5 g
901728,1996,Cheetos Crunchy Flamin Hot Pufak 50g
901065,1812,KDD Lulu Vanila Ice Cream Stick 62.5ml
902129,1800,Kinder Bueno 43 g
900340,1750,Kdd Mango Juice Drink 250 ml
902459,1723,Lettuce Romanian Jordanian 750g
900356,1663,Lusine Cheese Puff 70 g
900120,1647,Galaxy Minstrels Chocolate Bites 42 g
901070,1647,KDD Sandwich Vanilla 40ml
903136,1586,Fico Cheese Pufak Rings 18 g
903133,1580,Fico Crispy Salt & Vinegar 15 g
902397,1571,Driscoll's Strawberries USA 454 g
902456,1546,Capsicum Jordanian  500 g
900344,1511,KDD Cocktail Drink 125 ml
902434,1510,Rocket Bunch Kuwaiti 100 g
911481,1493,Lays Chips Tomato Ketchup 48 g
901064,1484,KDD Silver Cone Ice Cream 100ml
900512,1468,Mountain Dew 250 ml
902454,1419,Carrot Australia 1 Kg
902451,1418,Onion Red Indian 1 Kg
902132,1395,Kinder Chocolate Milk 50 g
900339,1379,Kdd Cocktail Juice Drink 250 ml
902437,1357,Mint Bunch Kuwaiti 100 g
900105,1346,M&Ms Minis 30.6g
902529,1314,Kfm Fresh Normal Toast Bread 500 g
902435,1305,Parsley Bunch Kuwaiti 100 g
900345,1300,KDD Mango Nectar 125 ml
902398,1274,Driscoll's Raspberries Mexico 170 g
902513,1266,Kfm White Hot Dog Roll Small 6 pcs
901063,1237,KDD Gold Cone Ice Cream 100ml
914675,1228,Air Bar Grape 45 Mg
902457,1214,Eggplant Round Kuwait 500 g
902130,1213,Kinder Bueno White 43 g
901388,1198,Ulker Napoliten Chocolate 30g
904299,1194,Red Bull Energy Drink 250 ml (6Pack)
900062,1189,Red Bull Sugarfree 250 ml
915821,1184,Kitkat 2 Fingers 17.7g
911090,1170,Kdd Raspberry Lolly Ice Cream Stick 62.5 g
900502,1166,Pringles Chips Original 40 g
901096,1137,"Almarai Full Fat Plain Yoghurt, 170g"
907414,1128,Aquafina Drinking Water 330 ml x 20 Pcs
902436,1127,Coriander Bunch Kuwaiti 100 g
901134,1120,"Lusine Sliced White Bread, 600g"
916608,1116,Wara Kuwaiti Eggs 30 Pcs
916607,1107,Naif Kuwaiti Eggs 30 pcs Old
900353,1078,KDD Chocolate Milk 125 ml
900101,1070,Galaxy Flutes Chocolate 22.5g
912954,1043,Chips Oman 15g
914678,1038,Air Bar Blueberry 45 Mg
902140,1020,"Lusine Sliced Brown Bread, 600g"
916359,1018,Cadbury Time Out Chocolaty Crunchy Wafer 41.6 g
905678,1006,Hala Facial Tissues 150 Ply x 7 Pcs
901871,982,Shani Strawberry 250 ml
911724,978,Kinder Chocolate 8 Fingers 100 g
902111,962,Takis Fuego Mini Tortilla Chips 35 g
900273,959,Al-Rabie Orange Drink 250ml
907918,952,"L'usine Sliced Milk Bread, 600g"
900955,952,Loacker Wafer Napolaitaner 45 g
900123,913,Snickers Chocolate Bar 50 g
901531,901,Pringles Chips Original 165 g
901625,896,Nestle Milkybar 12g
900433,896,Cadbury Snack Milk Chocolate Bar 22 g
902120,896,Ferrero Rocher 37.5 g
900511,885,Mirinda Orange Drink 250 ml
918514,879,Nestle Aero Purely Chocolate 36g
902455,868,Lettuce Iceberg Jordanian 1 Kg
908944,867,Kinder Schokobons Crispy 89 g
902530,860,Kfm Fresh Whole Wheat Toast Bread 500 g
914677,858,Air Bar Watermelon 45 Mg
902528,857,Kfm Hamburger Buns 8 pcs x 480 g
902577,855,Kfm Potato Bun 4 pcs x 240 g
901081,851,Al Marai Laban Ff 180 ml
900441,846,Cadbury Milk Flake Chocolate Dipped 32 g
902412,835,Orange Valencia South African 1 Kg
902443,834,Garlic White China 500 g
901726,828,"Doritos Sweet Chilli Pepper Tortilla Chips, 180g"
902399,826,Driscoll's Blackberries USA 170 g
900280,812,Loacker gardena Hazelnut 38 g
902576,808,KFM Hard Roll Bread 8 pcs x 480 g
900956,806,Loacker Wafer Napolaitaner 125 g
901071,799,Kdd Milk Full Cream 1 Ltr
902465,795,Ginger China 500 g
900127,794,Twix Twin 50 g
912468,794,Fico Chiplets Salt & Vinegar Chips 18 g
902408,793,Apple Granny Chile 1 Kg
901729,792,Cheetos Chips Crunchy Chili 190 g
912151,783,"Red Bull Red Edition Watermelon Energy Drink, 250ml"
900436,770,Cadbury Dairy Milk Flake Chocolate 32 g
